StepTimes10,Avg,Stdev,Stderr
0,-122.847241835,18.9687334637,3.79374669273
1,-132.857753271,15.9963049143,3.19926098285
2,-139.816136633,18.049704045,3.609940809
3,-143.234709033,12.9459801389,2.58919602779
4,-140.505359898,14.455138575,2.891027715
5,-139.163699616,13.5028890605,2.7005778121
6,-138.490959548,12.591735138,2.5183470276
7,-136.919239942,14.8887564295,2.9777512859
8,-135.953633426,15.3745473501,3.07490947001
9,-137.43647633,14.255346862,2.8510693724
10,-138.037642472,13.2838638494,2.65677276988
11,-135.564057326,13.0659952432,2.61319904864
12,-135.107333469,13.519366704,2.70387334081
13,-137.258398359,14.1949211383,2.83898422766
14,-138.537074409,13.4467842551,2.68935685102
15,-134.941900029,12.1264289323,2.42528578645
16,-133.753292897,15.6902463903,3.13804927805
17,-132.212469162,16.0382823392,3.20765646784
18,-136.490574356,12.0506814262,2.41013628523
19,-133.302695626,12.958956122,2.5917912244
20,-131.085894869,15.2777418889,3.05554837779
21,-130.81357804,11.6017007049,2.32034014098
22,-134.415191981,15.3712111019,3.07424222039
23,-132.318194603,16.3742417858,3.27484835716
24,-130.058511298,14.1497700597,2.82995401195
25,-132.993778584,13.6163188445,2.72326376889
26,-131.852467368,12.1094018466,2.42188036933
27,-131.44965924,15.4383350876,3.08766701753
28,-133.678861195,13.9339921498,2.78679842996
29,-133.79537243,14.7420337453,2.94840674907
30,-128.002847182,14.6399155962,2.92798311924
31,-130.019635792,16.6545252259,3.33090504517
32,-131.327622184,15.8724797395,3.17449594789
33,-127.862514906,15.9397146926,3.18794293853
34,-131.1056991,13.5152351338,2.70304702675
35,-133.258438846,13.512937688,2.7025875376
36,-132.425906482,15.4202799913,3.08405599826
37,-135.207816694,13.5569798548,2.71139597097
38,-130.213510915,13.2898955232,2.65797910464
39,-128.713881663,14.8647908945,2.97295817891
40,-132.018474023,15.2264580024,3.04529160048
41,-136.359245058,14.9622826073,2.99245652145
42,-129.841755913,14.3920288979,2.87840577959
43,-127.900457123,11.5621930074,2.31243860148
44,-130.616017661,15.2162268852,3.04324537703
45,-130.776015448,15.9334433986,3.18668867972
46,-131.574355027,13.1390395554,2.62780791107
47,-131.488840483,15.1704314764,3.03408629528
48,-130.061600433,12.6273361019,2.52546722039
49,-127.591372008,12.0435103378,2.40870206756
50,-124.168926752,14.6296211128,2.92592422256
51,-129.924409669,12.9583435471,2.59166870942
52,-127.943739875,11.4244703218,2.28489406437
53,-131.780120687,15.4407932256,3.08815864511
54,-131.025265745,13.2188374425,2.6437674885
55,-127.821546663,9.84955728243,1.96991145649
56,-128.864179212,13.7410335113,2.74820670225
57,-128.218504642,12.3931679576,2.47863359152
58,-129.73289355,16.0311450955,3.2062290191
59,-130.584027309,18.1782982073,3.63565964147
60,-130.263639048,11.8512931856,2.37025863711
61,-130.852850267,12.8773014288,2.57546028576
62,-129.433269251,14.7848834606,2.95697669212
63,-131.288680947,11.9815212941,2.39630425881
64,-131.200751558,13.0481348799,2.60962697599
65,-129.778659933,13.5724943,2.71449886
66,-128.030667359,11.4127399007,2.28254798014
67,-126.708421888,14.6798900883,2.93597801766
68,-130.509672203,12.1259312896,2.42518625793
69,-130.391028335,13.0310953444,2.60621906887
70,-127.888052711,15.6340889276,3.12681778553
71,-128.050092569,10.3164816731,2.06329633463
72,-128.339142026,17.2934281252,3.45868562504
73,-126.86624146,13.7201645154,2.74403290308
74,-127.218365168,10.683891501,2.13677830019
75,-126.824499785,16.9725089422,3.39450178843
76,-127.49303508,16.0454527395,3.2090905479
77,-125.910708641,10.9431377131,2.18862754262
78,-129.943811442,14.9362123141,2.98724246282
79,-129.555823416,15.3969632761,3.07939265522
80,-127.282776793,15.6247591638,3.12495183277
81,-126.738251606,12.9601459478,2.59202918956
82,-128.343874172,15.7666121981,3.15332243962
83,-127.662552816,15.0443825071,3.00887650142
84,-129.634095433,15.4066677115,3.08133354231
85,-128.701388886,11.0914902583,2.21829805166
86,-128.886255659,16.4497509429,3.28995018857
87,-127.456180062,17.091756417,3.41835128339
88,-128.228715794,11.466149309,2.29322986179
89,-129.891694157,15.1387278624,3.02774557249
90,-127.874128971,15.6127992855,3.12255985711
91,-127.948830563,14.226744677,2.8453489354
92,-127.589078098,15.0635117906,3.01270235813
93,-125.698755992,14.6856869155,2.93713738311
94,-129.156562576,12.8017735167,2.56035470334
95,-131.464911771,14.6654071917,2.93308143834
96,-131.834331387,14.6634078964,2.93268157928
97,-127.237309084,13.995158552,2.79903171039
98,-123.724357953,12.6984983471,2.53969966943
99,-127.013513671,13.6984781163,2.73969562326
